"origin","horizon","region","model","forecast","actual","error","sq_err"
1983,1,"USA","rw_drift",74.7449806758207,74.69,0.0549806758206586,0.00302287471369635
1983,1,"AL","rw_drift",73.5922023205823,73.29,0.302202320582282,0.0913262425653163
1983,1,"AK","rw_drift",73.9113051207055,74.16,-0.248694879294519,0.0618491429873151
1983,1,"AZ","rw_drift",75.7315128029241,75.29,0.441512802924052,0.194933555145853
1983,1,"AR","rw_drift",74.2060367312792,73.99,0.216036731279203,0.0466718692618027
1983,1,"CA","rw_drift",75.513901542904,75.23,0.283901542903948,0.0806000860632421
1983,1,"CO","rw_drift",76.4314331241426,76.14,0.291433124142642,0.0849332658475408
1983,1,"CT","rw_drift",76.0773753640957,75.86,0.217375364095716,0.0472520489157451
1983,1,"DE","rw_drift",74.646229641703,74.61,0.0362296417029881,0.0013125869379269
1983,1,"FL","rw_drift",75.0928765822418,75.17,-0.0771234177582016,0.00594802156670609
1983,1,"GA","rw_drift",73.200405787496,73.17,0.0304057874960364,0.000924511913254123
1983,1,"HI","rw_drift",77.8089233199275,77.66,0.148923319927519,0.0221781552182342
1983,1,"ID","rw_drift",75.7702289651043,75.75,0.020228965104323,0.000409211029191919
1983,1,"IL","rw_drift",74.2330153160972,74.42,-0.186984683902764,0.0349632720142167
1983,1,"IN","rw_drift",74.6796327200672,74.74,-0.0603672799328052,0.00364420848648567
1983,1,"IA","rw_drift",76.4633053461351,76.66,-0.196694653864924,0.0386887868590422
1983,1,"KS","rw_drift",76.02793513654,75.88,0.147935136539971,0.0218848046230998
1983,1,"KY","rw_drift",73.5847340768155,73.82,-0.235265923184471,0.0553500546118415
1983,1,"LA","rw_drift",72.6229447975537,72.96,-0.337055202446265,0.113606209496093
1983,1,"ME","rw_drift",75.4026737773524,75.55,-0.147326222647621,0.0217050158796164
1983,1,"MD","rw_drift",74.2274541640298,74.18,0.0474541640298298,0.00225189768376999
1983,1,"MA","rw_drift",75.6707979322503,75.47,0.200797932250254,0.0403198095959774
1983,1,"MI","rw_drift",74.2522234064219,74.28,-0.027776593578082,0.000771539150801949
1983,1,"MN","rw_drift",76.9992236712242,76.94,0.0592236712241885,0.00350744323327077
1983,1,"MS","rw_drift",72.8536330859001,72.81,0.0436330859000691,0.00190384618516281
1983,1,"MO","rw_drift",74.6578435469531,74.73,-0.0721564530468868,0.00520655371630758
1983,1,"MT","rw_drift",75.1788231010286,75.28,-0.101176898971403,0.0102367648854695
1983,1,"NE","rw_drift",76.3186008570123,76.33,-0.0113991429876563,0.000129940460853034
1983,1,"NV","rw_drift",74.2779212028308,74.05,0.227921202830842,0.0519480746998579
1983,1,"NH","rw_drift",75.8534478979419,75.72,0.133447897941878,0.0178083414651058
1983,1,"NJ","rw_drift",74.6791882574506,74.67,0.0091882574505604,8.44240749777787e-05
1983,1,"NM","rw_drift",75.4596713474891,75.26,0.199671347489115,0.039868647008119
1983,1,"NY","rw_drift",74.2549629572327,74.13,0.124962957232754,0.015615740680355
1983,1,"NC","rw_drift",74.1548249660961,74.06,0.0948249660961267,0.00899177419513157
1983,1,"ND","rw_drift",76.9931711243823,76.79,0.203171124382337,0.0412785057827829
1983,1,"OH","rw_drift",74.3907912023758,74.48,-0.0892087976241811,0.0079582095735521
1983,1,"OK","rw_drift",74.3872850126927,74.58,-0.192714987307284,0.0371390663328465
1983,1,"OR","rw_drift",75.9090451076224,75.53,0.379045107622375,0.143675193612458
1983,1,"PA","rw_drift",74.541887022904,74.49,0.0518870229039834,0.0026922631458385
1983,1,"RI","rw_drift",75.7486915559983,75.66,0.0886915559982953,0.00786619210539874
1983,1,"SC","rw_drift",72.9151090713275,72.94,-0.0248909286724484,0.000619558330176912
1983,1,"SD","rw_drift",75.7308127845563,75.95,-0.219187215443668,0.048043035413949
1983,1,"TN","rw_drift",74.0159985117462,73.82,0.195998511746211,0.0384154166067296
1983,1,"TX","rw_drift",74.4563295319979,74.43,0.0263295319978454,0.000693244255225564
1983,1,"UT","rw_drift",76.7271330559123,76.31,0.417133055912345,0.173999986334771
1983,1,"VT","rw_drift",75.4246571627052,75.58,-0.155342837294768,0.0241313970987887
1983,1,"VA","rw_drift",74.4794320901913,74.33,0.14943209019134,0.0223299495789527
1983,1,"WA","rw_drift",76.245194593131,75.86,0.385194593131018,0.148374874577371
1983,1,"WV","rw_drift",73.7786161510732,73.78,-0.00138384892680676,1.91503785222423e-06
1983,1,"WI","rw_drift",76.2011204157623,76.13,0.0711204157623371,0.00505811353820768
1983,1,"WY","rw_drift",75.4637024367596,75.5,-0.0362975632404101,0.00131751309719157
1983,2,"USA","rw_drift",74.9297882103866,74.66,0.269788210386579,0.0727856784635932
1983,2,"AL","rw_drift",73.7976723379128,73.3,0.497672337912775,0.247677755923567
1983,2,"AK","rw_drift",74.1125092146349,73.92,0.192509214634853,0.037059797719328
1983,2,"AZ","rw_drift",75.9738794256345,75.53,0.443879425634506,0.197028944501619
1983,2,"AR","rw_drift",74.3535761962098,73.85,0.503576196209764,0.253588985389095
1983,2,"CA","rw_drift",75.6805899265983,75.14,0.540589926598258,0.29223746873951
1983,2,"CO","rw_drift",76.6449491841578,76.53,0.114949184157823,0.013213314938549
1983,2,"CT","rw_drift",76.2691999711582,75.91,0.359199971158205,0.129024619280055
1983,2,"DE","rw_drift",74.8383921073661,73.93,0.908392107366055,0.825176220724942
1983,2,"FL","rw_drift",75.2756795231073,74.96,0.315679523107306,0.0996535613092563
1983,2,"GA","rw_drift",73.4038837592196,73.03,0.373883759219623,0.139789065408197
1983,2,"HI","rw_drift",78.0508046568237,77.85,0.200804656823706,0.0403225102020865
1983,2,"ID","rw_drift",75.9510045731706,76.37,-0.418995426829426,0.175557167703973
1983,2,"IL","rw_drift",74.4123621128073,74.42,-0.0076378871926579,5.83373207677676e-05
1983,2,"IN","rw_drift",74.8407730117463,74.76,0.0807730117462881,0.006524279426566
1983,2,"IA","rw_drift",76.6415091480215,76.38,0.261509148021474,0.0683870344989174
1983,2,"KS","rw_drift",76.1855485655655,76.16,0.0255485655654581,0.000652729202452514
1983,2,"KY","rw_drift",73.7306854729772,73.71,0.0206854729771919,0.000427888792290137
1983,2,"LA","rw_drift",72.7938264463163,72.75,0.0438264463163165,0.00192075739671697
1983,2,"ME","rw_drift",75.6131668597189,75.09,0.523166859718884,0.273703563108119
1983,2,"MD","rw_drift",74.4373559921817,74.02,0.417355992181669,0.174186024209945
1983,2,"MA","rw_drift",75.8585203883204,75.56,0.298520388320412,0.0891144222429697
1983,2,"MI","rw_drift",74.4107713456553,74.13,0.280771345655268,0.0788325485410698
1983,2,"MN","rw_drift",77.198809540581,76.89,0.308809540581052,0.0953633323538804
1983,2,"MS","rw_drift",73.0468499814509,72.67,0.376849981450917,0.142015908519556
1983,2,"MO","rw_drift",74.8192993290231,74.69,0.129299329023084,0.0167183164858197
1983,2,"MT","rw_drift",75.406862839396,75.56,-0.153137160604004,0.0234509899578565
1983,2,"NE","rw_drift",76.4885470512659,76.38,0.108547051265887,0.0117824623385192
1983,2,"NV","rw_drift",74.5239932732182,74,0.523993273218238,0.274568950377963
1983,2,"NH","rw_drift",76.0608878368188,75.43,0.630887836818843,0.398019462645959
1983,2,"NJ","rw_drift",74.8614648653096,74.53,0.331464865309641,0.109868956934739
1983,2,"NM","rw_drift",75.6846592371925,75.23,0.454659237192459,0.206715021964429
1983,2,"NY","rw_drift",74.4359231302711,74.08,0.355923130271123,0.126681274661994
1983,2,"NC","rw_drift",74.3680780811387,74.01,0.358078081138743,0.128219912192004
1983,2,"ND","rw_drift",77.1986771965402,77.06,0.138677196540172,0.0192313648402415
1983,2,"OH","rw_drift",74.5542841721871,74.53,0.0242841721870661,0.000589721018811076
1983,2,"OK","rw_drift",74.5125647521896,74.54,-0.0274352478104305,0.000752692822419731
1983,2,"OR","rw_drift",76.1105472910339,75.58,0.530547291033884,0.281480428023392
1983,2,"PA","rw_drift",74.7400365164202,74.43,0.310036516420197,0.0961226415139714
1983,2,"RI","rw_drift",75.9513331980498,75.61,0.341333198049838,0.11650835209093
1983,2,"SC","rw_drift",73.1668458138524,73,0.166845813852419,0.027837525600076
1983,2,"SD","rw_drift",75.9131412846256,76.11,-0.196858715374404,0.0387533538188606
1983,2,"TN","rw_drift",74.1885364826809,73.85,0.338536482680908,0.114606950105961
1983,2,"TX","rw_drift",74.6115734128026,74.57,0.0415734128025917,0.0017283486520547
1983,2,"UT","rw_drift",76.9235610406262,76.53,0.393561040626182,0.154890292698763
1983,2,"VT","rw_drift",75.6194513988214,75.5,0.119451398821425,0.0142686366803952
1983,2,"VA","rw_drift",74.6978713490322,74.47,0.227871349032242,0.0519253517097737
1983,2,"WA","rw_drift",76.4546251599829,75.86,0.594625159982883,0.353579080884669
1983,2,"WV","rw_drift",73.948562801476,73.79,0.158562801476023,0.0251421620119247
1983,2,"WI","rw_drift",76.394240126431,76.36,0.0342401264309444,0.00117238625800706
1983,2,"WY","rw_drift",75.673484046384,75.21,0.463484046383982,0.214817461252469
1983,3,"USA","rw_drift",75.1145957449525,74.74,0.374595744952501,0.140321972136519
